name;search_name;address;zipcode;city;country_code;type
Sagateatern;;Borgmästaregatan 9;58223;Linköping;SE;8
Equmeniakyrkan i Linköping;;Drottninggatan 22;58225;Linköping;SE;7
Dahlbergs Café;Dahlbergs Cafe;Kryddbodtorget 1;58246;Linköping;SE;5
Gamla Linköping Friluftsteatern;;Tunnbindaregatan;58246;Linköping;SE;5
Skylten;;Södra Oskarsgatan 3;58273;Linköping;SE;4
Stångebrofältet;;Gumpekullavägen;58273;Linköping;SE;5
Tornby, vid City Gross;;Norra Svedengatan 9;58273;Linköping;SE;4
Palatset;;Drottninggatan 23;58325;Linköping;SE;10
Ettringstorps loge;;Arrebo Ettringstorp 1;59014;Boxholm;SE;4
Folkets hus Motala;;Sjögatan 5;59130;Motala;SE;4
Motala saluhallen;;Prästgatan 8;59130;Motala;SE;4
Kulturakademin;;Urban Hjärnes väg 6;59130;Motala;SE;8
Motala sporthall;;Östermalmsgatan 40;59135;Motala;SE;6
Bomber Bar Motala;;Prästgatan 3;59241;Motala;SE;10
Hamnplan;;Skeppsbrokajen;59323;Västervik;SE;5
Vårfrukyrkan i Skänninge;;Västra kyrkogatan 1;59692;Skänninge;SE;7
Stora Åby Skola;;Åby Skola 1;59994;Ödeshög;SE;4
Arbis;;Bredgatan 54;60221;Norrköping;SE;4
Kulturkvarteret Hallarna;;Tunnbindaregatan 37;60221;Norrköping;SE;4
Hörsalen;;Drottninggatan 48;60232;Norrköping;SE;4
Löfstad slott;;Löfstad Slott;60597;Norrköping;SE;4
Tovastugan;;Hamnvägen 4;61131;Nyköping;SE;5
Nyköpings Teater;;Teatertorget;61131;Nyköping;SE;8
Culturum;;Hospitalsgatan 4;61132;Nyköping;SE;2
Nyköpingshus;;Vallgatan 12;61132;Nyköping;SE;5
Mårtens hus;;Östra Storgatan 38A;61132;Nyköping;SE;10
Domino Bar & Nattklubb;Domino Bar och Nattklubb;Sankt Annegatan 2;61134;Nyköping;SE;3
NK-villan;;Behmbrogatan 3;61134;Nyköping;SE;4
Kulturhuset Finspång;;Bergslagsvägen 29;61230;Finspång;SE;4
Slottsparken;;Slottsvägen;61231;Finspång;SE;5
Trollkäringeskogen, Flasbjörke;;Flasbjörke;61295;Finspång;SE;5
Fyllingarums Bygdegård;;Sandsveden 1;61493;Söderköping;SE;4
Valdemarsviks Centrum;;Centralplan;61500;Valdemarsvik;SE;5
Valdemarsvik Församlingshem;;Kyrkogatan 17;61531;Valdemarsvik;SE;4
Folkets Hus Valdemarsvik;;Storgatan 58;61532;Valdemarsvik;SE;4
Vångsten Karlslund;;Vångsten 1;61591;Valdemarsvik;SE;4
Långrådna Bygdegård;;Långrådna Bygdegård 1;61592;Valdemarsvik;SE;4
Grännäs Folkets Park;;Festplatsvägen 1;61595;Valdemarsvik;SE;5
Ekbacken Tryserum;;Ingelsbo;61595;Valdemarsvik;SE;4
Gryts Varv Restaurang,Hotel&Konferens;Gryts Varv Restaurang,HotelochKonferens;Hummelvik;61596;Gryt;SE;4
Tomtaklintskolan, Aulan;;Tomtaklintgatan 4;61933;Trosa;SE;4
Trosa Kyrka;;Viktoriagatan 30;61935;Trosa;SE;7
Tureholms Slott;;Trädgårdsmästarbostaden;61992;Trosa;SE;5
Valvet Coworking;;Kungsgatan 5;63220;Eskilstuna;SE;4
Volvo CE Arena;;Arenatorget 1;63361;Eskilstuna;SE;6
Hasselbacken Regna;;Regna;64010;Högsjö;SE;5
Bruksområdet Hälleforsnäs;;Gjutmästarbacken 1;64030;Hälleforsnäs;SE;4
Magdakullan;;Magdakullan;64397;Västra Näshulta;SE;4
Kulturhuset Saga Torshälla;;Storgatan 52;64431;Eskilstuna;SE;4
Grassagården;;Kvarngatan 2;64530;Strängnäs;SE;10
Thomas Arena;;Regementsgatan 10;64533;Strängnäs;SE;4
Björnlunda hembygdsgård, Gnesta;;Björnlunda hembygdsgård;64650;Björnlunda;SE;4
Åker Folkets Hus;;Torget 1;64752;Åkers styckebruk;SE;4
Elite Stadshotellet Karlstad;;Kungsgatan 22;65108;Karlstad;SE;4
Karlstad CCC;;Tage Erlandergatan 8;65220;Karlstad;SE;4
Sandgrundsudden;;Sandgrundsudden;65224;Karlstad;SE;5
Stora Torget;;Stora Torget;65224;Karlstad;SE;5
Inre hamn;;Tullhusgatan 1;65227;Karlstad;SE;5
Wermland Opera, Stora scen;;Malmtorgsgatan 2;65340;Karlstad;SE;1
Sola Arena;;Wittstockslingan 6;65348;Karlstad;SE;5
Molkoms folkhögskola;;Mejerivägen 3;65560;Molkom;SE;4
Upperudslogen i Molkom;;Upperudsvägen;65560;Molkom;SE;4
Rotnäs gårdsbutik;;Rotnäs 407;65593;Karlstad;SE;5
Åmåls kyrka;;Karlstadsvägen 4;66237;Åmål;SE;7
Skruvstadparken;;Skruvstadparken;66491;Grums;SE;5
Dals-Eds kyrka;;Gamla Edsvägen 39;66830;Ed;SE;7
Åmotfors Folkets Park ;;Norumsvägen;67040;Åmotfors;SE;5
Olssons Brygga;;Hamnen;67100;Arvika;SE;5
Arvika Hamnfest;;Hamnplan 1;67131;Arvika;SE;5
Ritz, Arvika;;Hamngatan 12;67131;Arvika;SE;4
Viksholmen;;Viksholmen;67132;Arvika;SE;5
Sölje Gård;;Sölje Gård 1;67191;Glava;SE;5
Alternativet;;Rackstad Nyby 1;67192;Arvika;SE;5
Jazz i Vikene;;Vikene Där Framme;67194;Brunskog;SE;5
Billingsbergs Hembygdsgård;;Billingsbergs Hembygdsgården 1;67195;Klässbol;SE;5
Sölje herrgård;;Sölje herrgård;67197;Glava;SE;5
Hillringsbergs Folketspark;;Tallåsen;67197;Glava;SE;5
Gunnevi;;Stommen Gunnevi;67198;Gunnarskog;SE;5
Årjängs Hotell;;Clara Torg 1;67231;Årjäng;SE;4
Årjängs Golfkrog;;Snarkil Golfbanan;67295;Årjäng;SE;10
Björneborg Folkets Park;;Parkplan 1;68161;Björneborg;SE;5
Herrgårdsparken Torsby Centrum;;Gräsmarksvägen 6;68533;Torsby;SE;5
Kolsnäs;;Kolsnäsvägen 4;68635;Sunne;SE;5
Berättarladan;;Parkvägen 14;68694;Rottneros;SE;8
Lilltomta Gård;;Västansjö 77;68694;Rottneros;SE;4
Mårbacka Minnesgård;;Mårbacka 42;68696;Östra Ämtervik;SE;4
Alma Löv Museum of Unexpected Art;;Smedsby 108;68696;Östra Ämtervik;SE;4
Stadsteatern Nya Folkets Hus;;Bohultsgatan;69131;Karlskoga;SE;8
Joan's Karlskoga;Joans Karlskoga;Torget 6 A;69131;Karlskoga;SE;10
Kungsteatern;;Loviselundsvägen 59;69131;Karlskoga;SE;8
Udden vid näset;;Strandparksvägen;69141;Karlskoga;SE;5
Crossfit Karlskoga;;Häsängsvägen 18;69142;Karlskoga;SE;4
Gelleråsen Arena;;Gelleråsen 654;69191;Karlskoga;SE;6
Vretstorps Folkets Park;;Vretstorps Parken;69450;Vretstorp;SE;5
Trosa Galejet;;Östra långgatan;61930;Trosa;SE;5
Clarion Hotel Örebro;;Kungsgatan 14;70211;Örebro;SE;4
Makeriet;;Kungsgatan 3;70211;Örebro;SE;10
Spelgården Wadköping;;Alsnäsgatan 11;70215;Örebro;SE;5
Hjalmar Bergmanteatern;;Olof Palmes Torg 3;70222;Örebro;SE;8
Conventum Club 700;;Drottninggatan 42;70222;Örebro;SE;4
Conventum Arena;;Fabriksgatan 26-28;70223;Örebro;SE;6
Regnbågen Brunnsparken;;Brunnslyckevägen 15;70228;Örebro;SE;5
Kulturkvarteret;;Fabriksgatan 4;70235;Örebro;SE;4
Örebro Teater;;Storgatan 1;70361;Örebro;SE;8
STÅ - Pintxos & Vänner;STÅ - Pintxos och Vänner;Slottsgatan 6;70361;Örebro;SE;10
Frimis Salonger Örebro;;Frimurarholmen;70368;Örebro;SE;10
Svampen;;Dalbygatan 4;70380;Örebro;SE;10
Humlehagen;;Tjugesta 426;70597;Glanshammar;SE;5
Folkets hus Lindesberg;;Kristinavägen 13;71130;Lindesberg;SE;4
Lindehov;;Ishockeygatan 2;71134;Lindesberg;SE;6
Stripa Gruvmiljö, Stripabryggeriet;;Gruvbackevägen 8;71178;Guldsmedshyttan;SE;4
Nora kyrka;;Prästgatan 3;71331;Nora;SE;7
Svalbo Café;Svalbo Cafe;Järle 207;71391;Nora;SE;10
Vinöns Värdshus;;Södra Vinön 721;71593;Odensbacken;SE;10
Festplatsen;;Mosebacke 7;71693;Gropen;SE;5
Dylta Bruk Herrgård;;Dyltabruk 264;71897;Dylta Bruk;SE;5
Intiman;;Sigurdsgatan 16;72130;Västerås;SE;4
Västerås Officersmäss;;Flottiljgatan 73;72131;Västerås;SE;5
